Ticker,Date,Company Name,Sector,Price,Size,1,2,3,Turnover,Gain,Year
RERE,Jun 18,AiHuiShou International Co. Ltd.,Consumer-Services,14.0,16.0,GS,BAML,CRNS,0.35600000000000004,0.22899999999999998,2021
YMM,Jun 22,Full Truck Alliance Co. Ltd.,Technology,19.0,82.0,MS,CICC,GS,0.44799999999999995,0.132,2021
CXM,Jun 23,Sprinklr Inc.,Technology,16.0,16.0,MS,JPM,CITI,0.973,0.1,2021
FA,Jun 23,First Advantage Corp.,Miscellaneous,15.0,25.0,BRCL,BAML,JPM,0.33299999999999996,0.313,2021
MITAU,Jun 23,Coliseum Acquisition Corp.,Finance,10.0,15.0,Stifel,,,0.16,-0.01,2021
GLUE,Jun 24,Monte Rosa Therapeutics Inc.,Health-Care,19.0,11.0,JPM,COWN,PS,0.33399999999999996,0.115,2021
MIRO,Jun 24,Miromatrix Medical Inc.,Health-Care,9.0,4.0,CHLM,,,0.741,0.693,2021
GRVI,Jun 24,GROVE INC.,Consumer-Services,5.0,2.0,KCM,,,2.5989999999999998,0.12,2021
DOCS,Jun 24,Doximity Inc.,Technology,26.0,23.0,MS,GS,JPM,0.214,1.153,2021
CFLT,Jun 24,Confluent Inc.,Technology,36.0,23.0,MS,JPM,GS,0.522,0.251,2021
BHG,Jun 24,Bright Health Group Inc.,Health-Care,18.0,51.0,JPM,GS,MS,0.253,-0.076,2021
BON,Jun 24,Bon Natural Life Limited,Capital-Goods,5.0,2.0,NWBR,TB,,2.4459999999999997,0.44,2021
MCW,Jun 25,Mister Car Wash Inc.,Consumer Services,15.0,37.0,BAML,MS,GS,0.46399999999999997,0.353,2021
MF,Jun 25,Missfresh Limited,Consumer-Services,13.0,21.0,JPM,CITI,CICC,0.0,-0.154,2021
GRPH,Jun 25,Graphite Bio Inc.,Health-Care,17.0,14.0,MS,BAML,COWN,0.27899999999999997,0.08800000000000001,2021
GHRS,Jun 25,GH Research PLC,Health-Care,16.0,10.0,COWN,Stifel,,0.165,0.203,2021
ELEV,Jun 25,Elevation Oncology Inc.,Health-Care,16.0,6.0,JPM,COWN,SVB,0.35700000000000004,-0.285,2021
TKNO,Jun 25,Alpha Teknova Inc.,Health-Care,16.0,6.0,COWN,WB,,0.596,0.563,2021
ACXP,Jun 25,Acurx Pharmaceuticals LLC,Health-Care,6.0,2.0,AXND,NONE,,5.672000000000001,0.315,2021
DDL,Jun 29,Dingdong (Cayman) Limited,Consumer-Services,23.5,3.0,MS,BAML,CS,0.6679999999999999,0.001,2021
XMTR,Jun 30,Xometry Inc.,Miscellaneous,44.0,6.0,GS,JPM,UBS,0.6709999999999999,0.986,2021
DNAD,Jun 30,Social Capital Suvretta Holdings Corp. IV,Finance,10.0,22.0,MS,,,0.17300000000000001,0.01,2021
DNAC,Jun 30,Social Capital Suvretta Holdings Corp. III,Finance,10.0,22.0,MS,,,0.128,0.011000000000000001,2021
DNAB,Jun 30,Social Capital Suvretta Holdings Corp. II,Finance,10.0,22.0,MS,,,0.17800000000000002,0.012,2021
DNAA,Jun 30,Social Capital Suvretta Holdings Corp. I,Finance,10.0,22.0,MS,,,0.17300000000000001,0.011000000000000001,2021
S,Jun 30,SentinelOne Inc.,Technology,35.0,35.0,MS,GS,BAML,0.588,0.214,2021
CPOP,Jun 30,Pop Culture Group Co. Ltd,Consumer-Services,6.0,6.0,NONE,,,0.5770000000000001,4.05,2021
LZ,Jun 30,LegalZoom.com Inc,Technology,28.0,19.0,JPM,MS,BRCL,0.653,0.35200000000000004,2021
IAS,Jun 30,Integral Ad Science Holding LLC,Technology,18.0,15.0,MS,JEFF,EVCR,0.561,0.14300000000000002,2021
INTA,Jun 30,Intapp Inc.,Technology,26.0,10.0,JPM,BAML,CS,0.47100000000000003,0.077,2021
CVRX,Jun 30,CVRx Inc.,Health-Care,18.0,7.0,JPM,PS,WB,0.079,0.44799999999999995,2021
YOU,Jun 30,Clear Secure Inc.,Technology,31.0,13.0,GS,JPM,WLFG,0.6829999999999999,0.29,2021
AVTE,Jun 30,Aerovate Therapeutics Inc.,Health-Care,14.0,8.0,JEFF,COWN,EVCR,0.13,0.631,2021
CURV,Jul 1,Torrid Holdings Inc.,Consumer-Non-Durables,21.0,11.0,MS,BAML,GS,0.542,0.15,2021
VRAR,Jul 1,The Glimpse Group Inc.,Technology,7.0,1.0,KCM,,,4.425,1.5230000000000001,2021
DNUT,Jul 1,Krispy Kreme Inc.,Consumer-Non-Durables,17.0,29.0,JPM,MS,BAML,1.391,0.235,2021
EVCM,Jul 1,EverCommerce Inc.,Technology,17.0,19.0,GS,JPM,RBC,0.534,0.035,2021
WAVE,Jul 1,Eco Wave Power Global AB,Public-Utilities,8.0,1.0,A.G.P.,,,0.643,0.35600000000000004,2021
HEPS,Jul 1,D-MARKET Electronic Services & Trading (Hepsiburada),Consumer-Durables,12.0,56.0,MS,JPM,GS,0.247,0.11900000000000001,2021
ABOS,Jul 1,Acumen Pharmaceuticals Inc.,Health-Care,16.0,10.0,BAML,CS,Stifel,0.225,0.256,2021
