,Ticker,Trade Date,Company,Lead/Joint-Lead Mangers,Offer Price,Opening Price,1st Day Close,1st Day Percent Change,Change Opening,Change Close,Star Ratings,Year,Underpriced
2355,HABT,2014-11-20,Habit Restaurants ,"['Piper Jaffray', 'Baird', 'Wells Fargo Securities', 'Raymond James']",18.0,30.0,39.54,1.1966667,12.0,21.54,3,2014,False
2356,NEOT,2014-11-20,Neothetics ,"['Piper Jaffray', 'Guggenheim Securities', 'Needham & Company']",14.0,14.0,12.0,-0.14285715,0.0,-2.0,2,2014,True
2357,NEFF,2014-11-21,Neff Corporation ,"['Morgan Stanley', 'Jefferies', 'Piper Jaffray']",15.0,14.75,14.85,-0.01,-0.25,-0.15,1,2014,True
2358,SKIS,2014-11-21,Peak Resorts   ,"['FBR', 'Stifel', 'Baird']",9.0,9.0,8.51,-0.054444443,0.0,-0.49,1,2014,True
2359,HSGX,2014-12-03,Histogenics ,"['Cowen and Company', 'Needham & Company', 'Canaccord Genuity']",11.0,11.35,11.75,0.06818182,0.35,0.75,2,2014,False
2360,LC,2014-12-11,LendingClub  ,"['Morgan Stanley', 'Goldman Sachs', 'Credit Suisse', 'Citigroup']",15.0,24.98,23.43,0.562,9.98,8.43,3,2014,False
2361,MOMO,2014-12-11,Momo ,"['Morgan Stanley', 'Credit Suisse', 'J.P. Morgan', 'China Renaissance']",13.5,14.25,17.02,0.26074073,0.75,3.52,1,2014,False
2362,AVOL,2014-12-12,Avolon Holdings Limited ,"['J.P. Morgan', 'Morgan Stanley', 'Citigroup', 'UBS Investment Bank', 'Wells Fargo Securities']",20.0,19.25,18.5,-0.075,-0.75,-1.5,1,2014,True
2363,CNLMU,2014-12-12,CB Pharma Acquisition ,['EarlyBirdCapital'],10.0,10.01,10.0,0.0,0.01,0.0,1,2014,False
2364,CNXR,2014-12-12,Connecture   ,"['Morgan Stanley', 'J. P. Morgan Securities']",8.0,9.25,8.8,0.1,1.25,0.8,2,2014,False
2365,HDP,2014-12-12,Hortonworks  ,"['Goldman Sachs', 'Credit Suisse', 'RBC Capital Markets']",16.0,24.0,26.38,0.64875,8.0,10.38,2,2014,False
2366,JRVR,2014-12-12,James River Group Holdings  ,"['Keefe Bruyette & Woods (A Stifel Company )', 'UBS Investment Bank', 'FBR', 'BMO Capital Markets']",21.0,21.32,21.25,0.011904762,0.32,0.25,1,2014,False
2367,MPG,2014-12-12,Metaldyne Performance Group (MPG),"['BofA Merrill Lynch', 'Goldman Sachs', 'Deutsche Bank SecuritieS', 'Barclays', 'Credit Suisse', 'RBC Capital Markets']",15.0,15.25,15.11,0.007333333,0.25,0.11,1,2014,False
2368,NEWR,2014-12-12,New Relic   ,"['Morgan Stanley', 'J.P. Morgan']",23.0,30.16,33.99,0.4778261,7.16,10.99,3,2014,False
2369,WK,2014-12-12,Workiva ,"['Morgan Stanley', 'Credit Suisse']",14.0,14.0,13.75,-0.017857144,0.0,-0.25,2,2014,True
2370,ONDK,2014-12-17,On Deck Capital  ,"['Morgan Stanley', 'BofA Merrill Lynch', 'J.P. Morgan', 'Deutsche Bank Securities', 'Jefferies']",20.0,26.5,27.98,0.399,6.5,7.98,3,2014,False
