,Model Name,Accuracy,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start
67,random_forest_86,0.9215686274509803,True,0.0,,gini,14,auto,,,0.0,1,2,0.0,150,,False,,0,False
68,random_forest_92,0.7058823529411765,True,0.0,,entropy,2,auto,,,0.0,1,2,0.0,150,,False,,0,False
69,random_forest_590,0.9019607843137255,True,0.0,,entropy,11,auto,,,0.0,1,2,0.0,550,,False,,0,False
70,random_forest_745,0.9196078431372549,False,0.0,,gini,13,auto,,,0.0,1,2,0.0,700,,False,,0,False
71,random_forest_751,0.7058823529411765,False,0.0,,entropy,1,auto,,,0.0,1,2,0.0,700,,False,,0,False
72,random_forest_989,0.9196078431372549,False,0.0,,gini,15,auto,,,0.0,1,2,0.0,900,,False,,0,False
73,random_forest_779,0.9176470588235294,False,0.0,,entropy,15,auto,,,0.0,1,2,0.0,700,,False,,0,False
74,random_forest_786,0.7274509803921568,True,0.0,,gini,4,auto,,,0.0,1,2,0.0,750,,False,,0,False
75,random_forest_792,0.803921568627451,True,0.0,,gini,7,auto,,,0.0,1,2,0.0,750,,False,,0,False
76,random_forest_962,0.7058823529411765,True,0.0,,gini,2,auto,,,0.0,1,2,0.0,900,,False,,0,False
77,random_forest_976,0.8529411764705882,True,0.0,,gini,9,auto,,,0.0,1,2,0.0,900,,False,,0,False
78,random_forest_960,0.7058823529411765,True,0.0,,gini,1,auto,,,0.0,1,2,0.0,900,,False,,0,False
79,random_forest_974,0.8294117647058824,True,0.0,,gini,8,auto,,,0.0,1,2,0.0,900,,False,,0,False
80,random_forest_784,0.7098039215686275,True,0.0,,gini,3,auto,,,0.0,1,2,0.0,750,,False,,0,False
81,random_forest_790,0.7803921568627451,True,0.0,,gini,6,auto,,,0.0,1,2,0.0,750,,False,,0,False
82,random_forest_948,0.8725490196078431,True,0.0,,entropy,10,auto,,,0.0,1,2,0.0,850,,False,,0,False
83,random_forest_747,0.9156862745098039,False,0.0,,gini,14,auto,,,0.0,1,2,0.0,700,,False,,0,False
84,random_forest_753,0.7058823529411765,False,0.0,,entropy,2,auto,,,0.0,1,2,0.0,700,,False,,0,False
85,random_forest_84,0.9137254901960784,True,0.0,,gini,13,auto,,,0.0,1,2,0.0,150,,False,,0,False
86,random_forest_586,0.8431372549019608,True,0.0,,entropy,9,auto,,,0.0,1,2,0.0,550,,False,,0,False
87,random_forest_592,0.9156862745098039,True,0.0,,entropy,12,auto,,,0.0,1,2,0.0,550,,False,,0,False
88,random_forest_90,0.7058823529411765,True,0.0,,entropy,1,auto,,,0.0,1,2,0.0,150,,False,,0,False
