Issuer Ticker,Issuer Name,Announced Date,Pricing Date,Industry Sector,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Market Cap at Offer (M)
1224790D,NASDAQ Premiumome & Growth,12/22/2006,1/25/2007,Financial,,,,364,0,0
SNOA,Sonoma Pharmaceuticals,7/3/2006,1/25/2007,"Consumer, Non-cyclical",-32.2,-40.2,-31.1,26.8284,12.2278,97.82
GDL,GDL Fund/The,12/27/2006,1/26/2007,Financial,,,,425,0,0
RAK/U,Renaissance Acquisition,5/24/2006,1/29/2007,Diversified,,,0.5,107.64,0,0
EIG,Employers Holdings,12/4/2006,1/30/2007,Financial,-1.1,16.9,1.4,522.963,52.7152,896.16
DEP,Duncan Energy Partners LP,11/2/2006,1/30/2007,Energy,,,1,313.95,22.2516,467.28
HF,HFF,11/9/2006,1/30/2007,Financial,8.6,17.5,9.1,296.01,14.3,257.4
NTQ/U,NTR Acquisition Co,6/28/2006,1/30/2007,Diversified,,,0.4,245.572,0,0
1846567D,Information Services Group,8/11/2006,1/31/2007,"Consumer, Non-cyclical",11.5,5.5,8.3,258.75,0,0
0861757D,Animal Health Holdings,9/28/2006,1/31/2007,"Consumer, Non-cyclical",0.3,0.1,0.7,149.27,24.333,267.66
DEK/U,Dekania,6/6/2006,2/1/2007,Diversified,,,-2.8,99.624,0,0
CORR,CorEnergy Infrastructure Trust,8/28/2006,2/1/2007,Financial,209.1,-9,0.7,86.1,8.8286,132.43
1334197D,Xtent,8/7/2006,2/1/2007,"Consumer, Non-cyclical",,,-107.8,75.2,22.7963,364.74
MIPIQ,Molecular Insight Pharmaceutic,11/9/2005,2/2/2007,"Consumer, Non-cyclical",,,-107.1,70,24.6396,344.95
USQ/U,Union Street Acquisition,8/11/2006,2/6/2007,Diversified,,,0.8,100,0,0
MDGL,Madrigal Pharmaceuticals,11/22/2006,2/6/2007,"Consumer, Non-cyclical",,,-118.2,50,33.8174,338.17
NCMI,National CineMedia,10/13/2006,2/7/2007,Communications,26.7,-42.5,-3.2,882,38,798
ARAY,Accuray,11/13/2006,2/7/2007,"Consumer, Non-cyclical",8.4,-1.2,-2,331.2,52.2124,939.82
2060389D,Fortress Investment Group,11/9/2006,2/8/2007,Financial,-4.1,8.1,8.5,729.435,89.3575,1653.11
NGLS,Targa Resources Partners LP,11/16/2006,2/8/2007,Energy,-4.7,-21.2,2.9,405.72,0,352.8
SDXC,Switch & Data Facilities Co In,9/27/2006,2/8/2007,Communications,19.7,0.2,0.4,228.083,33.8067,574.71
PRTS,CarParts.com,11/2/2006,2/8/2007,Communications,31.2,-1.7,-1.4,115,29.8329,298.33
TIL/U,Trans-India Acquisition,8/4/2006,2/8/2007,Diversified,,,1.2,92,0,0
OPTR,Optimer Pharmaceuticals,11/9/2006,2/9/2007,"Consumer, Non-cyclical",-29.9,-36.4,-59.8,56.35,22.7977,159.58
PSID,PositiveID,12/29/2005,2/9/2007,Technology,-3.6,-162.9,-403.2,20.15,9.15556,59.51
GAC/U,Geneva Acquisition,6/28/2006,2/12/2007,Diversified,,,1,69,0,0
OPXT,Oclaro Fiber Optics,10/27/2006,2/14/2007,Communications,,,-25.1,291.687,64.5491,968.24
QRR,Quadra Realty Trust,11/9/2006,2/14/2007,Financial,,,,250.05,25.7201,385.8
BBDC,Barings BDC,11/3/2006,2/14/2007,Financial,90.5,57.4,0.9,71.55,6.68677,100.3
SLRY,Kenexa Compensation,11/13/2006,2/15/2007,Technology,,,-47.5,68.8275,15.3644,161.33
1793654D,Highland Distressed Opportunit,9/19/2006,2/21/2007,Financial,-125.4,,-49.8,259.264,17.6176,264.26
EXG,Eaton Vance Tax-Managed Global,1/19/2007,2/22/2007,Financial,,,,6034,0,0
NIE,Virtus Equity & Convertible In,1/29/2007,2/22/2007,Financial,,,,507.5,0,0
CHV/U,Churchill Ventures Ltd,7/13/2006,2/28/2007,Diversified,,,-0.1,107.779,0,0
CLWR,Clearwire,12/19/2006,3/7/2007,Communications,0.9,-57.6,-9.4,600,133.325,3333.12
SHJ/U,Barzel Industries,6/27/2006,3/7/2007,Basic Materials,,,-19.7,150,0,0
ESSXU,Essex Rental,11/6/2006,3/7/2007,"Consumer, Non-cyclical",8.2,-10.8,-3.8,103.5,0,0
FIRE,Sourcefire,10/25/2006,3/8/2007,Communications,34.6,2.2,1.7,99.5325,23.1139,346.71
TVH/U,Media & Entertainment Holdings,9/9/2005,3/9/2007,Diversified,,,0.8,99.36,0,0
BBND,BigBand Networks,12/22/2006,3/14/2007,Communications,-19.9,-28.2,-20.2,159.965,57.1191,742.55
FCSX,FCStone Group,10/12/2006,3/16/2007,Financial,-74.8,12,-2.7,140.76,18.1598,435.84
CQP,Cheniere Energy Partners LP,12/21/2006,3/20/2007,Energy,52.9,17.2,2.4,326.025,26.4164,554.74
GLUU,Glu Mobile,12/19/2006,3/21/2007,Technology,31.3,3.7,3.8,86.2439,28.6374,329.33
SAR,Saratoga Investment,10/18/2006,3/23/2007,Financial,22.7,64.6,1.8,108.75,8.29138,124.37
HDS/U,Alpha Security Group,8/31/2005,3/23/2007,Diversified,,,0.7,60,0,0
ARUN,Aruba Networks,12/15/2006,3/26/2007,Communications,21.4,-3.9,-0.3,101.2,75.141,826.55
EOD,Allspring Global Dividend Oppo,1/16/2007,3/27/2007,Financial,,,,900,0,0
BFD,BlackRock Global Equityome,2/23/2007,3/27/2007,Financial,,,,898.399,0,0
JCE,Nuveen Core Equity Alpha Fund,1/12/2007,3/27/2007,Financial,,,,327,0,0
IAE,Voya Asia Pacific High Dividen,1/12/2007,3/27/2007,Financial,,,,275,0,0
MEJ/U,Santa Monica Media,9/16/2005,3/27/2007,Financial,,,-0.7,100,0,0
FHO,First Trust Strategic High,2/22/2007,3/28/2007,Financial,,,,155,0,0
SMCI,Super Micro Computer,11/2/2006,3/28/2007,Technology,46,5.4,15.5,73.6,28.6232,228.99
SENO,SenoRx,5/25/2006,3/28/2007,"Consumer, Non-cyclical",,,-8.5,50.6,15.8056,126.44
GSIT,GSI Technology,1/10/2007,3/29/2007,Technology,20.3,-49,-21.4,35.3711,27.5339,151.44
ESSA,ESSA Bancorp,12/7/2006,4/4/2007,Financial,,25.5,0.9,126.5,0,0
DLGC,Dialogic,10/20/2006,4/4/2007,Communications,-17.4,-40.8,-57.1,72,40.1052,320.84
CMSB,CMS Bancorp,12/7/2006,4/4/2007,Financial,-1.5,6.9,0.1,17.25,0,0
COMV,Itron Distributed Energy Manag,10/5/2006,4/12/2007,Utilities,14.2,-9.4,-5.6,109.71,18.3127,329.63
MBH/U,MBF Healthcare Acquisition Cor,7/5/2006,4/17/2007,Diversified,,,0.1,172.5,26.5938,212.75
TMUS,T-Mobile US,1/4/2007,4/18/2007,Communications,17.1,3.7,0.7,1322.5,346.248,7963.7
PNNT,PennantPark Investment,1/19/2007,4/19/2007,Financial,-18.6,204.2,2.7,309.375,21.025,315.38
DEEPQ,Superior Offshore Internationa,8/11/2006,4/19/2007,Energy,195.5,19.9,,175.375,25.6667,385
CHM/U,China Healthcare Acquisition C,7/11/2006,4/20/2007,Diversified,,,-1.1,58.5093,0,0
EDD,Morgan Stanley Emerging Market,3/21/2007,4/23/2007,Financial,,,,1395,0,0
CNK,Cinemark Holdings,2/1/2007,4/23/2007,"Consumer, Cyclical",120,-27.9,-3.3,537.075,106.45,2022.55
VRY/U,Victory Acquisition/ IL,1/31/2007,4/24/2007,Financial,,,0.9,330,33,330
CYLUU,Cyalume Technologies Holdings,8/18/2005,4/24/2007,Basic Materials,9,6.5,7.8,58.5,0,0
AWP,abrdn Global Premier Propertie,2/16/2007,4/25/2007,Financial,,,,2110.32,0,0
JGT,Nuveen Diversified Currency Op,2/23/2007,4/25/2007,Financial,,,,800,0,0
OREXQ,Orexigen Therapeutics,12/19/2006,4/25/2007,"Consumer, Non-cyclical",37.8,-72.7,-53.7,96.6,26.9103,322.92
1664784D,Gilead Pharmasset,5/8/2006,4/26/2007,"Consumer, Non-cyclical",-12,-10165.5,-60.3,49.5,21.0198,189.18
CAVM,Cavium,2/13/2007,5/1/2007,Technology,63.1,-7,-3.8,104.794,39.5705,534.2
NGSX,NeurogesX,2/7/2007,5/1/2007,"Consumer, Non-cyclical",39.1,-430.7,-88.1,44,12.4879,137.37
IBKR,Interactive Brokers Group,11/27/2006,5/3/2007,Financial,18.5,10.4,0.2,1200.4,40.2007,1206.42
TOMO,TomoTherapy,2/12/2007,5/8/2007,"Consumer, Non-cyclical",19.1,-15.3,-12.1,256.594,48.7483,926.22
ACM,AECOM,3/8/2007,5/9/2007,Industrial,0.7,1.3,2.5,808.45,97.6077,1952.15
SLH,Solera Holdings,2/12/2007,5/10/2007,Technology,15.5,-8.8,-3.5,483,64.982,1039.71
JMP,JMP Group,2/14/2007,5/10/2007,Financial,4.8,-3.8,15.7,101.189,21.9999,242
ALBO,Albireo Pharma,2/7/2007,5/10/2007,"Consumer, Non-cyclical",388.4,-83.8,-42.4,86.25,20.1608,302.41
CLR,Continental Resources/OK,3/8/2006,5/14/2007,Energy,121.1,29,18.7,442.5,168.019,2520.28
PODD,Insulet,2/14/2007,5/14/2007,"Consumer, Non-cyclical",21.4,1.5,0.8,125.475,26.298,394.47
PINN,Pinnacle Gas Resources,12/21/2006,5/14/2007,Energy,,,-6.3,36.0775,28.9283,260.35
GENN,Genesis Healthcare,10/10/2006,5/15/2007,"Consumer, Non-cyclical",-14.4,-1.5,-1.3,297.084,16.6667,258.33
TTGT,TechTarget,2/7/2007,5/16/2007,Communications,77.5,0.3,2.1,115.115,39.0595,507.77
CAI,CAI International,2/7/2007,5/16/2007,"Consumer, Non-cyclical",-29.4,9.4,4.3,87,17.1089,256.63
TRS,TriMas,8/3/2006,5/17/2007,Industrial,11.3,6.6,4.7,139.15,33.4095,367.5
ENOC,Enel X North America,2/12/2007,5/17/2007,Utilities,1,-12.4,-21.1,112.125,17.9706,467.24
BUS/U,Columbus Acquisition,11/22/2006,5/18/2007,Financial,,,-0.9,115,0,0
1369764D,RSC Holdings,2/12/2007,5/22/2007,"Consumer, Non-cyclical",23.3,-1.9,1,458.333,103.148,2269.26
ACDQU,Arcade Acquisition,2/21/2007,5/22/2007,Diversified,,,0.2,69,0,0
SIRT,Sirtris Pharmaceuticals,3/1/2007,5/22/2007,"Consumer, Non-cyclical",,,-34.6,69,28.6891,286.89
TTSPU,Transtech Services Partners In,10/19/2006,5/23/2007,Diversified,,,-0.4,41.4,0,0
BGY,BlackRock Enhanced Internation,4/25/2007,5/24/2007,Financial,,,,2126,0,0
1849818D,Advent Claymore Convertible Se,4/13/2007,5/24/2007,Funds,,,,636.118,0,0
DPO,Dow 30 Enhanced Premium &o,4/26/2007,5/24/2007,Financial,,,,535.16,0,0
VTG/U,Vantage Drilling Co,11/9/2006,5/24/2007,Energy,24.8,-69.5,-1.6,276,0,0
1567639D,RiverSource LaSalle Internatio,4/23/2007,5/24/2007,Financial,,,,222.5,0,0
HNW,Pioneer Diversified Highom,4/11/2007,5/24/2007,Financial,,,,182.5,0,0
WWAYU,Westway Group,5/5/2006,5/24/2007,"Consumer, Cyclical",,,1.1,138,0,0
CLNE,Clean Energy Fuels,9/6/2006,5/24/2007,"Consumer, Cyclical",-12.3,-36.4,-5.2,138,45.6934,548.32
HLCSQ,Helicos BioSciences,3/1/2007,5/24/2007,"Consumer, Non-cyclical",-26.5,-180.3,-121.5,52.173,20.917,188.253
FGB,First Trust Specialty Finance,3/21/2007,5/25/2007,Financial,,,,246,0,0
1992972D,RMR Asia Real Estate Fund,4/26/2007,5/25/2007,Financial,,,,95,0,0
FOLD,Amicus Therapeutics,3/30/2007,5/30/2007,"Consumer, Non-cyclical",17.1,-81.9,-30.7,75,22.2344,333.52
STAQU,Stoneleigh Partners Acquisitio,4/12/2006,5/31/2007,Diversified,,,0.4,222.78,0,0
8249434Q,Starent Networks,3/6/2007,6/5/2007,Communications,,,11,145.381,63.9977,767.97
RGDXQ,Response Genetics,12/21/2006,6/5/2007,"Consumer, Non-cyclical",-15.5,-81.9,-113,21,10.2393,71.68
INFN,Infinera,2/26/2007,6/6/2007,Communications,5.1,-11.9,-9.4,209.3,85.2366,1108.08
EGIO,Edgio,3/22/2007,6/7/2007,Communications,-5.4,-25.1,-12.2,276,81.8336,1227.5
FBRC,FBR & Co,4/10/2007,6/7/2007,Financial,-22.9,-55.1,-5.5,220.846,65.5833,1114.92
PEX/U,Apex Bioventures Acquisition C,7/13/2006,6/8/2007,Diversified,,,0.1,69,0,0
BWY,Mauser Packaging Solutions Hol,3/9/2007,6/12/2007,Industrial,,,-8.6,150.588,21.5859,323.79
GRBK,Green Brick Partners,12/8/2006,6/13/2007,"Consumer, Cyclical",43.7,13.5,19.9,63.3937,15.3293,160.96
AII/U,Boise,3/19/2007,6/19/2007,Basic Materials,6.2,2,0.6,414,0,0
BX,Blackstone,3/22/2007,6/21/2007,Financial,270,25.9,6.5,4753.33,234.668,7274.71
TIPT,Tiptree,3/29/2007,6/22/2007,Financial,48.1,3.1,-0.2,225,21.0124,315.19
GGA/U,GSC Acquisition Co,11/20/2006,6/25/2007,Diversified,,,-1.9,207,0,0
XCRRX,Invesco Dynamic Credit Opportu,6/26/2007,6/26/2007,Funds,,,,1480,0,0
JTD,Nuveen Tax-Advantaged Dividend,4/25/2007,6/26/2007,Financial,,,,297,0,0
1349322D,MLP & Strategic Equity Fund In,3/23/2007,6/26/2007,Financial,,,,290.01,0,0
DEX,Delaware Enhanced Global Divid,4/13/2007,6/26/2007,Financial,,,,258.484,0,0
SEP,Spectra Energy Partners LP,3/30/2007,6/26/2007,Energy,-23,31.2,2.9,253,44.6299,981.86
DRP,DWS RREEF World Real Estate Fu,5/25/2007,6/26/2007,Financial,,,,242.5,0,0
BKCC,BlackRock Capital Investment C,3/6/2007,6/26/2007,Financial,-31.1,143.7,2.5,160,51.1559,818.49
DDUP,Data Domain,3/30/2007,6/26/2007,Technology,,,5.9,127.478,52.8813,793.22
SCOR,comScore,3/30/2007,6/26/2007,Communications,3,-13.6,-1.5,100.568,28.1803,464.97
1901522D,AuthenTec,3/16/2007,6/26/2007,Technology,,,-4.5,82.5,26.0001,286
CHW,Calamos Global Dynamicome,4/12/2007,6/27/2007,Financial,,,,885,0,0
PPO,Polypore International LP,3/14/2007,6/27/2007,Industrial,3.4,5.1,3.6,285,40.3069,765.83
DCW,DCW Total Return Fund,6/27/2007,6/27/2007,Financial,,,,150,0,0
PRO,PROS Holdings,4/4/2007,6/27/2007,Technology,-0.4,-32.3,-18.4,86.3368,25.7879,283.67
FOODU,Vaughan Foods,10/6/2006,6/27/2007,"Consumer, Non-cyclical",,,-4.2,13.975,0,0
BLIN,Bridgeline Digital,12/13/2006,6/28/2007,Communications,21.5,-50.4,4.1,16,7.4738,37.37
CNWUF,China Networks International H,11/14/2006,6/29/2007,Communications,,,-2.8,56,0,0
SHOR,ShoreTel,2/12/2007,7/2/2007,Communications,-0.7,-3.4,-3.6,86.3075,42.4409,403.19
LABC,Louisiana Bancorp/Metaire,3/21/2007,7/10/2007,Financial,-3,23.1,0.8,60.95,0,0
BKEP,Blueknight Energy Partners LP,3/9/2007,7/17/2007,Energy,4.6,95.7,23.5,316.25,14.375,316.25
DHX,DHI Group,4/4/2007,7/17/2007,Communications,7.8,-24.8,0.9,220.896,61.961,805.49
EBTX,Encore Bancshares,5/8/2007,7/17/2007,Financial,,,,47.575,10.0873,211.83
MFGLQ,MF Global Holdings Ltd,5/31/2007,7/18/2007,Financial,11.9,-3.6,-0.5,2921.39,119.632,3588.96
NZ,Netezza,3/22/2007,7/18/2007,Technology,,,3.4,124.2,56.9811,683.77
LIMC,Limco-Piedmont,4/16/2007,7/18/2007,Industrial,,,2,55.66,13.425,147.68
OWW,Orbitz Worldwide,5/10/2007,7/19/2007,Communications,10,1.8,-0.6,510,82.9125,1243.69
HGGGQ,hhgregg,4/17/2007,7/19/2007,"Consumer, Cyclical",-7.9,-2.8,-22.6,140.156,32.2416,419.14
KHA/U,KBL Healthcare Acquisition Cor,3/16/2007,7/19/2007,Diversified,,,-0.7,138,0,0
AIRV,Ericsson Evdo,4/19/2007,7/19/2007,Communications,,,-8.3,58.1,63.3696,443.59
TYPE,Monotype Imaging Holdings,1/26/2007,7/24/2007,Technology,4.6,4.9,5,144.713,34.0587,408.7
REXXQ,Rex Energy,4/27/2007,7/24/2007,Energy,47.6,-31.3,-13.6,112.2,30.7947,338.74
BLOG,BladeLogic,4/5/2007,7/24/2007,Technology,,,,97.75,26.655,453.13
SEGI,Sycamore Entertainment Group I,5/4/2007,7/25/2007,"Consumer, Cyclical",,,,15,10.0079,50.04
ETJ,Eaton Vance Risk-Managed Diver,7/20/2007,7/26/2007,Financial,,,,1404,0,0
INB,Cohen & Steers Globalome B,4/23/2007,7/26/2007,Financial,,,,465.686,0,0
GOF,Guggenheim Strategic Opportuni,6/26/2007,7/26/2007,Financial,,,,182,0,0
G,Genpact Ltd,5/11/2007,8/1/2007,Technology,8.4,9.1,7.2,568.235,211.703,2963.84
AMV/U,B Riley Financial,3/27/2007,8/1/2007,Financial,92.8,25.5,-0.7,414,41.4,414
DOLNQ,Dolan,4/26/2007,8/1/2007,Communications,-5.3,-40,-50.3,224.388,25.111,364.11
CXO,Concho Resources,4/24/2007,8/2/2007,Energy,14.2,-15.6,-52.9,276.232,73.633,846.78
VRTU,Virtusa,4/6/2007,8/2/2007,Technology,5.1,3.6,4.6,61.6,22.8269,319.58
SCMP,Sucampo Pharmaceuticals,6/19/2006,8/2/2007,"Consumer, Non-cyclical",50.1,8,-35.6,49.588,16.1005,185.16
MASI,Masimo,4/17/2007,8/7/2007,"Consumer, Non-cyclical",8.3,18.5,8.2,232.97,54.6043,928.27
0878522D,Crestwood Midstream Partners L,2/12/2007,8/7/2007,Energy,3.9,14.8,1.4,120.75,11.5886,243.36
HIRE,HireRight,2/12/2007,8/7/2007,"Consumer, Non-cyclical",,,10.9,65.625,11.2219,168.33
1667717D,DemandTec,5/24/2007,8/8/2007,Technology,4.2,-16.5,-15.9,66,26.1885,288.07
ZINCQ,American Zinc Recycling,7/2/2007,8/9/2007,Basic Materials,-8.5,-160.3,-118.3,100.747,34.0437,612.79
VMW,VMware,4/26/2007,8/13/2007,Technology,9.2,14.1,5.4,1100.55,75.12,2178.48
SRV,Cushing MLP & Infrastructure T,5/25/2007,8/27/2007,Financial,,,,175,0,0
CDLUF,CNC Development Ltd,6/6/2005,9/4/2007,Financial,,,-1.8,46,0,0
ENP,Encore Energy Partners LP,5/11/2007,9/11/2007,Energy,22,17.4,12.1,213.116,24.2106,508.42
1885807D,athenahealth,6/22/2007,9/19/2007,Technology,12.6,4.3,8.7,130.137,31.6004,568.81
FAV,First Trust Dividend andom,7/24/2007,9/20/2007,Financial,,,,138,0,0
BQR,BlackRock EcoSolutions Investm,6/15/2007,9/25/2007,Financial,,,,235,0,0
HTY,John Hancock Tax-Advantaged Gl,7/19/2007,9/25/2007,Financial,,,,187,0,0
NGZ,AllianzGI Global Equity & Conv,5/15/2007,9/25/2007,Financial,,,,175,0,0
IID,Voya International High Divide,7/23/2007,9/25/2007,Financial,,,,162.5,0,0
TOH/U,Resolute Energy,6/14/2007,9/27/2007,Energy,21.6,-0.4,-3.8,552,67.2,672
DUF,Deerfield Duff & Phelps,5/23/2007,9/27/2007,Financial,22.1,4.5,3.3,152.72,12.92,206.72
BFED,Beacon Federal Bancorp,8/7/2007,10/2/2007,Financial,-5.9,15.2,0.4,94.875,0,0
IAN/U,Inter-Atlantic Financial,2/14/2007,10/2/2007,Diversified,,,-0.4,68.8824,0,0
HIA/U,Highlands Acquisition,6/8/2007,10/3/2007,Diversified,,,0.0426666,138,16.8,168
CTCT,Constant Contact,7/6/2007,10/3/2007,Technology,16.2,4.3,5.9,123.28,27.4554,439.29
MAPP,MAP Pharmaceuticals,6/18/2007,10/4/2007,"Consumer, Non-cyclical",,,-47.7,69,20.0224,240.27
MAIN,Main Street Capital,5/11/2007,10/4/2007,Financial,29.8,114.4,7.4,64.5,8.82673,132.4
UIHCU,United Insurance Holdings,6/4/2007,10/4/2007,Financial,-25,-9.1,-4.2,37.869,0,0
TGH,Textainer Group Holdings Ltd,9/26/2007,10/9/2007,"Consumer, Non-cyclical",28.2,33.3,4.2,148.5,47.6046,785.48
CML,Compellent Technologies,7/2/2007,10/9/2007,Technology,,,2,93.15,30.5713,412.71
TARG,Targanta Therapeutics,5/11/2007,10/9/2007,"Consumer, Non-cyclical",,,-115.4,57.5,20.9692,209.69
VM,Virgin Mobile USA,5/1/2007,10/10/2007,Communications,,,9.9,412.5,53.022,795.33
FFNW,First Financial Northwest,6/6/2007,10/10/2007,Financial,-4.7,25,0.8,184,0,0
DSP/U,SP Acquisition Holdings,5/8/2007,10/11/2007,Diversified,,,-0.0888375,432.896,53.2896,532.9
STTAU,Stone Tan China Acquisition Co,5/8/2007,10/15/2007,Diversified,,,0.1,263.762,0,0
LPSB,LaPorte Bancorp,6/5/2007,10/15/2007,Financial,5.9,24.1,0.8,12.9922,0,0
BAXSQ,Baxano Surgical,7/24/2007,10/16/2007,"Consumer, Non-cyclical",27.5,-172.3,-61.9,94.875,19.6015,294.02
ROICU,Retail Opportunity Investments,7/26/2007,10/17/2007,Financial,,,,414,0,0
SGS/U,Stream Global Services,7/10/2007,10/17/2007,Technology,,,0.1,250,0,0
DFT,DuPont Fabros Technology,8/9/2007,10/18/2007,Financial,16.8,29.7,4.5,736.575,35.5241,746.01
TCW/U,Triplecrown Acquisition,7/12/2007,10/22/2007,Diversified,,,0.1,552,67.2,672
CVI,CVR Energy,6/5/2007,10/22/2007,Energy,84.2,0.3,8.3,437,86.1413,1636.68
VNRSQ,Vanguard Natural Resources,4/25/2007,10/23/2007,Energy,-39.1,-236.5,42.6,99.75,10.79,205.01
ULEUQ,Ultimate Escapes,6/25/2007,10/23/2007,"Consumer, Cyclical",,-35,-17.6,80,0,0
FGXI,FGX International Holdings Ltd,12/20/2006,10/24/2007,"Consumer, Cyclical",9.3,6.3,6.2,220.8,21.3043,340.87
9999996D,Ulta Salon Cosmetics & Fragran,7/6/2007,10/24/2007,"Consumer, Cyclical",,,,176.77,56.6731,1020.12
PZN,Pzena Investment Management In,6/11/2007,10/24/2007,Financial,43.8,9.3,5,109.8,6.11177,110.01
PMII,Power Medical Interventions In,5/14/2007,10/25/2007,"Consumer, Non-cyclical",15.1,-470.4,-120.7,48.7025,17.1069,188.18
NBY,NovaBay Pharmaceuticals,2/14/2007,10/25/2007,"Consumer, Cyclical",-15.2,-69.1,-26.8,21.738,21.1378,84.55
GXDX,Genoptix,7/31/2007,10/29/2007,"Consumer, Non-cyclical",,,10.8,97.75,16.0693,273.18
PROJ,Deltek,5/8/2007,11/1/2007,Technology,21.7,-1,2.6,162,43.034,774.61
NSPH,Nanosphere,8/13/2007,11/1/2007,"Consumer, Non-cyclical",47.4,-145.1,-78.4,112.7,22.169,310.37
IQNT,Inteliquent,1/22/2007,11/1/2007,Communications,12.7,15.3,16.4,107.064,30.5672,427.94
SDBT,SoundBite Communications,4/16/2007,11/1/2007,Technology,15.4,-3.7,-7.1,43.4562,14.9938,119.95
SD,SandRidge Energy,6/22/2007,11/5/2007,Energy,46.8,69.1,42.6,841.867,141.851,3688.13
BFRM,Merz Aesthetics,8/20/2007,11/6/2007,"Consumer, Non-cyclical",,,-5.7,92,46.0962,368.77
EST/U,ARMOUR Residential REIT,8/6/2007,11/7/2007,Financial,,26.7,-3.6,250,0,0
GPH/U,Golden Pond Healthcare,7/19/2007,11/7/2007,Diversified,,,-0.1,143.75,0,0
AREXQ,Approach Resources,7/12/2007,11/7/2007,Energy,5.9,-18.6,-4.5,105.8,20.4058,244.87
ICXT,FLIR Detection,8/3/2007,11/7/2007,Industrial,,,-5.3,80,33.4719,535.55
ARYX,ARYx Therapeutics,8/30/2007,11/7/2007,"Consumer, Non-cyclical",,,-145.1,50,17.5366,175.37
1820099D,Capitol Acquisition,7/24/2007,11/8/2007,Financial,,,-0.3,262.49,26.249,262.49
QELP,Quest Energy Partners LP,7/19/2007,11/8/2007,Energy,,,-100.9,163.8,12.3015,221.43
OSP,OSG America LP,8/10/2007,11/8/2007,Industrial,,,-8.7,142.5,15,285
LL,LL Flooring Holdings,4/23/2007,11/8/2007,"Consumer, Cyclical",4.9,3.6,2.1,110,26.7521,294.27
APEI,American Public Education,8/7/2007,11/8/2007,"Consumer, Non-cyclical",30.1,4.2,-14.3,107.812,17.7519,355.04
ENSG,Ensign Group/The,5/14/2007,11/9/2007,"Consumer, Non-cyclical",9.3,7.4,7,73.6,21.0464,336.74
HEK/U,Nuverra Environmental Solution,6/26/2007,11/12/2007,Energy,-34.4,-40,-14.1,432.934,66.6168,532.934
SCU,Sculptor Capital Management In,7/2/2007,11/13/2007,Financial,-32.2,2.8,1.4,1152,74.1386,2372.44
1236053D,EnergySolutions,3/29/2007,11/14/2007,Industrial,-0.1,-3,-5.9,828.506,0,0
MSCI,MSCI,7/31/2007,11/14/2007,Technology,20.5,35.5,17.1,289.8,16.1,289.8
PAX/U,Kennedy-Wilson Holdings,8/3/2007,11/14/2007,Financial,-0.0881057,72.8,1.3,250,25,250
VRAD,Virtual Radiologic,8/10/2006,11/14/2007,"Consumer, Non-cyclical",,,9.5,78.2,16.9994,288.99
9990616D,ReShape Lifesciences/CA,5/25/2007,11/14/2007,"Consumer, Non-cyclical",-25.1,-191.4,-48.8,43.9188,16.7989,134.39
EPB,El Paso Pipeline Partners LP,8/31/2007,11/15/2007,Energy,-0.6,40.5,8,575,60.9378,1218.76
CIM,Chimera Investment,8/17/2007,11/15/2007,Financial,56.1,58.9,-3.9,511.25,37.7049,565.57
NMD,Nuveen Municipal Highome O,10/5/2007,11/15/2007,Financial,,,,236.25,0,0
7586674Q,3PAR,8/14/2007,11/15/2007,Technology,,,-1.6,107.835,60.2182,843.05
RBCN,Rubicon Technology,9/5/2007,11/16/2007,Technology,-9,-17.9,3.9,107.87,19.2396,269.35
INET,Autodata Solutions Group,7/20/2007,11/16/2007,Communications,-4.1,12.4,3.7,48,38.7429,309.94
SFSF,SuccessFactors,7/20/2007,11/19/2007,Technology,,,-5.1,124.085,51.3623,513.62
IDI/U,Fluent,6/29/2007,11/20/2007,Communications,5.9,-3,-20.2,80,0,0
WLBUE,Western Liberty Bancorp,7/23/2007,11/21/2007,Financial,516.8,-147.9,-5.5,319.489,0,0
PKO,PIMCOome Opportunity Fund,10/23/2007,11/28/2007,Financial,,,,350.918,0,0
CAELU,National American University H,5/18/2007,11/29/2007,"Consumer, Non-cyclical",,-39.3,,53.0104,0,0
FABK,First Advantage Bancorp,6/6/2007,11/30/2007,Financial,,16.2,0.8,76.705,0,0
NSAQU,North Shore Acquisition,8/9/2007,12/4/2007,Diversified,,,-1.5,50.4,0,0
TITN,Titan Machinery,8/17/2007,12/5/2007,"Consumer, Cyclical",21.3,3.8,9,58.65,12.2289,103.95
LIA/U,Liberty Acquisition Holdings C,8/17/2007,12/6/2007,Diversified,,,-1.3,1035,0,0
GQN/U,Global Brands Acquisition,8/24/2007,12/6/2007,Diversified,,,-0.1,287.5,0,0
TGY/U,Tremisis Energy Acquisition Co,8/22/2007,12/6/2007,Diversified,,,-1,77.8614,0,0
1553838D,Entropic Communications,7/27/2007,12/6/2007,Technology,-26.1,-51.2,-32.8,55.2,67.6148,405.69
1416528D,Cardtronics,9/7/2007,12/10/2007,"Consumer, Non-cyclical",,,,120,38.5662,385.66
URX/U,United Refining Energy,7/19/2007,12/11/2007,Diversified,,,0.1,450,0,0
MDAS,MedAssets,8/24/2007,12/12/2007,"Consumer, Non-cyclical",5.8,-2.8,-2,244.72,42.8617,685.79
