Issuer Ticker,Issuer Name,Announced Date,Pricing Date,Industry Sector,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Market Cap at Offer (M)
MASS,908 Devices,11/25/2020,12/17/2020,Industrial,56.9,-52.5,-12.6,149.5,27.1758,543.516
MDWT,Midwest Holding,11/3/2020,12/17/2020,Financial,184.1,-55.3,-0.0487292,70,3.7376,261.632
ACKIU,Ackrell Spac Partners I Co,12/1/2020,12/21/2020,Diversified,,,,138,14.285,142.85
CFIVU,CF Acquisition IV,12/7/2020,12/22/2020,Diversified,,,3.4,500,50,500
HCARU,Healthcare Services Acquisitio,10/8/2020,12/22/2020,Diversified,,,5.1,331.2,33.12,331.2
VIIAU,7GC & Co Holdings,12/7/2020,12/22/2020,Diversified,,,6.2,230,23,230
1855817D,Intelligent Bio Solutions,7/5/2019,12/22/2020,"Consumer, Non-cyclical",-77.9,-1900,-48.5,21.6002,0,0
IKT,Inhibikase Therapeutics,7/23/2020,12/22/2020,"Consumer, Non-cyclical",343.9,-476.8,-45.1,18,10.0508,100.508
VHAQ/U,Viveon Health Acquisition,12/4/2020,12/23/2020,Diversified,,,,201.25,20.125,201.25
VTAQU,Presto Automation,12/1/2020,12/23/2020,Technology,,,-0.2,172.5,0,0
FVT/U,Fortress Value Acquisition Cor,11/20/2020,1/4/2021,Diversified,,,1.4,230,20,200
BENEU,Benessere Capital Acquisition,11/3/2020,1/4/2021,Diversified,,,3.5,115,11.86,118.6
STPC/U,Benson Hill,12/18/2020,1/5/2021,"Consumer, Non-cyclical",,-85.7,-47.2,402.5,40.25,402.5
KAIRU,Kairos Acquisition,12/21/2020,1/5/2021,Diversified,,,5.4,276,27.6,276
CRU/U,Crucible Acquisition,12/18/2020,1/5/2021,Diversified,,,5.8,258.75,25.875,225
AKICU,Sports Ventures Acquisition Co,10/9/2020,1/5/2021,Diversified,,,1.3,230,23.6,236
VTIQU,VectoIQ Acquisition II,12/18/2020,1/6/2021,Diversified,,,0.5,345,35.4,354
PPGHU,Poema Global Holdings,12/18/2020,1/6/2021,Diversified,,,,345,34.5,300
BLTSU,Bright Lights Acquisition,12/18/2020,1/6/2021,Diversified,,,3,230,23,200
INKAU,KludeIn I Acquisition,12/15/2020,1/6/2021,Diversified,,,-0.4,172.5,17.25,172.5
OMEG,Omega Alpha SPAC,12/21/2020,1/6/2021,Diversified,,,-0.4,138,17.265,172.65
SVFAU,SVF Investment,12/21/2020,1/7/2021,Diversified,,,6.9,603.75,60.375,603.75
AGCB,Altimeter Growth 2,12/17/2020,1/7/2021,Diversified,,,-0.4,450,56,560
EPHYU,Epiphany Technology Acquisitio,12/15/2020,1/7/2021,Diversified,,,3.3,402.5,41.05,410.5
PACXU,Pioneer Merger,12/21/2020,1/7/2021,Diversified,,,,402.5,40.25,402.5
LHC/U,Leo Holdings II,10/26/2020,1/7/2021,Diversified,,,3.5,375,37.5,375
PRSRU,Prospector Capital,12/18/2020,1/7/2021,Diversified,,,-0.2,325,32.5,325
SWBK/U,Switchback II,12/18/2020,1/7/2021,Diversified,,,,316.25,31.625,316.25
KLAQU,KL Acquisition,12/17/2020,1/7/2021,Diversified,,,6.8,287.5,28.75,287.5
CGEM,Cullinan Oncology,12/18/2020,1/7/2021,"Consumer, Non-cyclical",,-346.1,19.8,287.385,41.2828,866.939
POWRU,Powered Brands,12/22/2020,1/7/2021,Diversified,,,4.3,276,27.6,276
EPWR/U,Empowerment &lusion Capita,12/22/2020,1/7/2021,Diversified,,,5.5,276,27.6,276
GSAQU,Global Synergy Acquisition Cor,12/18/2020,1/7/2021,Diversified,,,6.4,258.75,25.875,258.75
LWACU,eFFECTOR Therapeutics,12/18/2020,1/7/2021,"Consumer, Non-cyclical",-96.6,1104.7,11.6,175,17.5,175
LJAQU,LightJump Acquisition,12/18/2020,1/7/2021,Diversified,,,-0.1,138,13.8,138
MCADU,Better Therapeutics,12/21/2020,1/7/2021,"Consumer, Non-cyclical",,,-158,57.5,5.935,59.35
TMKRU,Tastemaker Acquisition,10/2/2020,1/8/2021,Diversified,,,5,276,27.6,276
GPACU,Global Partner Acquisition Cor,12/21/2020,1/11/2021,Diversified,,,3.1,300,30,300
ENFAU,BuzzFeed,12/23/2020,1/11/2021,Communications,23.7,6.2,-6.1,287.5,29.4525,294.525
SWETU,Athlon Acquisition,12/22/2020,1/11/2021,Diversified,,,1.2,276,27.6,276
ADEX/U,Adit EdTech Acquisition,12/23/2020,1/11/2021,Diversified,,,0.5,276,27.6,276
BCYPU,SAB Biotherapeutics,12/7/2020,1/11/2021,"Consumer, Non-cyclical",10.2,-28.1,-24.6,115,11.8823,118.823
AFRM,Affirm Holdings,11/18/2020,1/12/2021,"Consumer, Non-cyclical",55,-52.4,-11.9,1386.21,125.036,6126.76
FINMU,Marlin Technology,11/24/2020,1/12/2021,Diversified,,,,414,41.4,414
NGAB/U,Embark Technology,12/23/2020,1/12/2021,"Consumer, Cyclical",,,-43.6,414,41.4,414
HLAHU,Hamilton Lane Alliance Holding,12/17/2020,1/12/2021,Diversified,,,3.8,276,27.6,276
DLCAU,Deep Lake Capital Acquisition,12/23/2020,1/12/2021,Diversified,,,3.8,207,20.7,180
MSGM,Motorsport Games,12/18/2020,1/12/2021,Technology,-20.8,-219.9,-86.3,69,10.45,209
WOOF,Petco Health & Wellness Co,12/3/2020,1/13/2021,"Consumer, Cyclical",18,2.8,1.8,993.6,226.424,4075.63
PNTM/U,Pontem,12/28/2020,1/13/2021,Diversified,,,3.6,690,69,690
FCAX/U,Fortress Capital Acquisition C,12/23/2020,1/13/2021,Diversified,,,5.4,400,40,350
POSH,Poshmark,12/17/2018,1/13/2021,Communications,24.3,-30.1,-9.7,318.78,8.9906,377.605
ENVIU,GreenLight Biosciences Holding,12/22/2020,1/13/2021,"Consumer, Non-cyclical",,,-14.4,207,20.7,207
TBA,Thoma Bravo Advantage,1/7/2021,1/14/2021,Diversified,,,,1000,100,1000
DRVN,Driven Brands Holdings,12/22/2020,1/14/2021,"Consumer, Non-cyclical",62.2,0.6,-0.4,805,169.483,3728.62
HCICU,Hennessy Capital Investment Co,12/22/2020,1/14/2021,Diversified,,,,345,34.5,345
ROT/U,Sarcos Technology and Robotics,12/18/2020,1/14/2021,Industrial,,-1606,-69,276,27.6,276
EACPU,Edify Acquisition,12/28/2020,1/14/2021,Diversified,,,3.6,276,27.6,276
HCCCU,Healthcare Capital,12/21/2020,1/14/2021,Diversified,,,,275,27.5,0
ADERU,26 Capital Acquisition,12/23/2020,1/14/2021,Diversified,,,5.1,275,27.5,275
CLAS/U,Class Acceleration,12/30/2020,1/14/2021,Diversified,,,,258.75,25.875,258.75
MONCU,Monument Circle Acquisition Co,12/23/2020,1/14/2021,Diversified,,,5.2,250,25,0
AEACU,Authentic Equity Acquisition C,12/22/2020,1/14/2021,Diversified,,,5.5,230,23,230
OCAXU,OCA Acquisition,12/23/2020,1/14/2021,Diversified,,,6,149.5,14.95,149.5
GNACU,Group Nine Acquisition,12/21/2020,1/15/2021,Diversified,,,5.7,230,23,230
GMIIU,Sonder Holdings,12/23/2020,1/19/2021,"Consumer, Cyclical",,,,450,45,450
GMBTU,Queen's Gambit Growth Capital,12/29/2020,1/19/2021,Diversified,,,,345,34.5,345
TZPSU,TZP Strategies Acquisition Cor,12/28/2020,1/19/2021,Diversified,,,6.1,287.5,28.75,287.5
LEGOU,Legato Merger,9/23/2020,1/19/2021,Basic Materials,,,,235.75,23.575,235.75
OSTRU,Oyster Enterprises Acquisition,12/30/2020,1/19/2021,Diversified,,,6.8,230,23,230
FOXWU,FoxWayne Enterprises Acquisiti,12/9/2020,1/19/2021,Diversified,,,5.7,57.5,5.75,57.5
DFH,Dream Finders Homes,12/22/2020,1/20/2021,"Consumer, Cyclical",69.6,6.3,12.3,143.52,32.2953,419.839
AFBI,Affinity Bancshares,9/11/2020,1/20/2021,Financial,7.1,23.7,0.8,37.015,6.8756,0
LMACU,Liberty Media Acquisition,11/19/2020,1/21/2021,Diversified,,,6.2,575,57.5,575
OEPWU,One Equity Partners Open Water,1/6/2021,1/21/2021,Diversified,,,8.4,345,34.5,345
JCICU,Jack Creek Investment,9/21/2020,1/21/2021,Diversified,,,8.7,345,34.5,345
VOSOU,Virtuoso Acquisition,12/29/2020,1/21/2021,Diversified,,,,230,23,230
EUSGU,European Sustainable Growth Ac,1/4/2021,1/21/2021,Diversified,,,,143.75,14.375,143.75
MNTK,Montauk Renewables,12/11/2020,1/21/2021,Energy,47.5,-3,11.4,28.8958,141.016,1198.63
NAACU,North Atlantic Acquisition Cor,1/4/2021,1/22/2021,Diversified,,,,379.5,37.95,379.5
SHACU,SCP & CO Healthcare Acquisitio,9/29/2020,1/22/2021,Diversified,,,,230,20.5,205
COMS,ComSovereign Holding,8/28/2020,1/22/2021,Communications,34,-1210.8,-139.5,17.3686,0,0
NSTB/U,Northern Star Investment,1/6/2021,1/25/2021,Diversified,,,1.5,400,40,400
DHHCU,DiamondHead Holdings,1/8/2021,1/25/2021,Diversified,,,4,345,34.5,345
SSAAU,Science Strategic Acquisition,1/8/2021,1/25/2021,Diversified,,,0.1,310.5,31.05,310.5
DNZ/U,D & Z Media Acquisition,1/8/2021,1/25/2021,Diversified,,,-1.5,287.5,28.75,287.5
BIOTU,Biotech Acquisition Co,12/31/2020,1/25/2021,Diversified,,,4.2,230,23,230
SHLS,Shoals Technologies Group,12/30/2020,1/26/2021,Energy,21.4,1.1,2,2213.75,93.5363,2338.41
CSTA/U,Constellation Acquisition,1/8/2021,1/26/2021,Diversified,,,10.1,310,31,310
FSSIU,Fortistar Sustainable Solution,1/6/2021,1/26/2021,Diversified,,,6.8,258.75,25.875,258.75
HCIIU,Hudson Executive Investment Co,12/31/2020,1/26/2021,Diversified,,,4.5,250,25,250
CLIM/U,Climate Real Impact Solutions,1/8/2021,1/26/2021,Diversified,,,4.2,241.5,24.15,241.5
HYPR,Hyperfine,1/11/2021,1/26/2021,"Consumer, Non-cyclical",,-4334.9,,207,21.95,219.5
CAHCU,CA Healthcare Acquisition,1/8/2021,1/26/2021,Diversified,,,,115,11.5,115
LMAOU,SeaStar Medical Holding,1/8/2021,1/26/2021,"Consumer, Non-cyclical",,,3.6,103.5,10.35,103.5
PDO,PIMCO Dynamicome Opportuni,3/25/2020,1/27/2021,Financial,,,,2000,0,0
OCDX,Ortho Clinical Diagnostics Hol,1/4/2021,1/27/2021,"Consumer, Non-cyclical",15.6,-2.6,-0.0119245,1485.8,227.985,3875.74
TLGA/U,TLG Acquisition One,1/12/2021,1/27/2021,Diversified,,,8.9,400,40,400
ITHXU,Mondee Holdings,1/8/2021,1/27/2021,Communications,,,-1.3,241.5,24.15,241.5
AGFY,Agrify,12/22/2020,1/27/2021,Industrial,395.2,-54.2,-31.8,62.1,13.4918,134.918
IGNYU,Peak Bio,1/11/2021,1/27/2021,"Consumer, Non-cyclical",,,-0.8,57.5,5.75,57.5
XM,Qualtrics International,12/28/2020,1/28/2021,Technology,40.8,-98.4,-48.5,1783.5,87.9684,2639.05
MIT/U,Mason Industrial Technology In,1/12/2021,1/28/2021,Diversified,,,3.5,500,50,500
CLRMU,Clarim Acquisition,1/13/2021,1/28/2021,Diversified,,,3.2,287.5,28.75,250
BLUA/U,BlueRiver Acquisition,1/12/2021,1/28/2021,Diversified,,,2.2,287.5,29.475,257.25
CFFVU,CF Acquisition V,1/8/2021,1/28/2021,Diversified,,,,250,25.6,256
ZWRKU,Z-Work Acquisition,1/13/2021,1/28/2021,Diversified,,,2.9,230,23,230
TRIN,Trinity Capital,1/21/2021,1/28/2021,Financial,,,7.5,118.742,26.4153,369.814
HMPT,Home Point Capital,1/8/2021,1/28/2021,Financial,-28.1,13.3,0.9,94.25,138.86,1805.18
BCACU,Apexigen,8/14/2020,1/28/2021,"Consumer, Non-cyclical",,,-7.5,57.5,5.9783,59.783
EQHA/U,EQ Health Acquisition,1/13/2021,1/29/2021,Diversified,,,6.3,220,22,220
GCACU,Cepton,8/18/2020,1/29/2021,"Consumer, Cyclical",,,,172.5,17.25,150
JWSM/U,Jaws Mustang Acquisition,1/15/2021,2/1/2021,Diversified,,,2.4,1035,103.5,1035
AAC/U,Ares Acquisition,1/15/2021,2/1/2021,Diversified,,,,1000,100,1000
THMAU,Pear Therapeutics,1/15/2021,2/1/2021,Technology,,-1548,2.9,276,27.6,276
MDH/U,MDH Acquisition,1/14/2021,2/1/2021,Diversified,,,3.8,276,27.6,240
NRACU,Noble Rock Acquisition,1/12/2021,2/1/2021,Diversified,,,7.7,241.5,24.15,241.5
PRPC/U,CC Neuberger Principal Holding,1/14/2021,2/2/2021,Diversified,,,-4.8,402.5,40.25,402.5
KRNLU,Kernel Group Holdings,1/14/2021,2/2/2021,Diversified,,,9.9,304.75,30.475,304.75
TMAC/U,Music Acquisition/The,1/15/2021,2/2/2021,Diversified,,,3.1,230,23,230
GHACU,Gaming & Hospitality Acquisiti,1/15/2021,2/2/2021,Diversified,,,1.7,200,20,200
CUEN,Cuentas,10/28/2020,2/2/2021,Financial,6.2,-1809.1,-135.8,12,13.4445,57.8113
SANA,Sana Biotechnology,1/13/2021,2/3/2021,"Consumer, Non-cyclical",,,-28.1,675.625,183.815,4595.37
ONTF,ON24,1/8/2021,2/3/2021,Technology,29.7,-11.9,-10.8,492.25,45.757,2287.85
DCRNU,Decarbonization Plus Acquisiti,1/8/2021,2/3/2021,Diversified,,,,402.5,40.25,402.5
ACII/U,Atlas Crest Investment II,1/5/2021,2/3/2021,Diversified,,,4.7,345,34.5,345
NXU/U,Energy Vault Holdings,1/13/2021,2/3/2021,Energy,,,-2.3,287.5,28.75,287.5
ITQRU,Itiquira Acquisition,1/19/2021,2/3/2021,Diversified,,,5.1,230,23,230
SNSE,Sensei Biotherapeutics,1/15/2021,2/3/2021,"Consumer, Non-cyclical",,,-27.4,152.576,30.5885,581.182
ASAXU,Astrea Acquisition,1/11/2021,2/3/2021,Diversified,,,-1.8,150,15.43,154.3
LABP,Landos Biopharma,1/13/2021,2/3/2021,"Consumer, Non-cyclical",,-213.4,-62.3,100,39.1632,626.611
CPUH/U,Compute Health Acquisition Cor,1/20/2021,2/4/2021,Diversified,,,1.3,862.5,86.25,862.5
RMGCU,RMG Acquisition III,1/4/2021,2/4/2021,Diversified,,,3.1,483,48.3,483
